label,sentence1,sentence2
explanation-argumentative,The dollar finished softer yesterday,tilted lower by continued concern about the stock market.
attribution,We're trading with a very wary eye on Wall Street,said Trevor Woodland chief corporate trader at Harris Trust & Savings Bank in New York.
elaboration-object-attribute-e,No one is willing to place a firm bet,that the stock market won't take another tumultuous ride.
antithesis,News of the major earthquake in California Tuesday triggered a round of dollar sales in early Asian trade,but most foreign-exchange dealers said
attribution,but most foreign-exchange dealers said,they expect the impact of the quake on financial markets to be short-lived.
concession,Despite the dollar's lackluster performance,some foreign-exchange traders maintain
attribution,that the U.S. unit remains relatively well bid.,
attribution,Harris Trust's Mr. Woodland noted,that the unit continues to show resilience in the face
elaboration-object-attribute-e,resilience in the face of a barrage of headline negatives in recent weeks including rate increases in Europe and Japan, aggressive central bank intervention, a  0-point plunge in New York stock prices an unexpectedly poor U.S. trade report and action by the Federal Reserve to nudge U.S. rates lower.
temporal-same-time,While Mr. Woodland doesn't predict a significant climb for the U.S. unit in light of recent moves in interest rates around the world,he noted    attribution    that its downside potential is surprisingly and        -- for dollar bulls --   elaboration-additional-e     impressively limited.
attribution,he noted,that its downside potential is surprisingly and  -- for dollar bulls --
elaboration-additional-e,that its downside potential is surprisingly and  -- for dollar bulls --,impressively limited.
Comparison,In late New York trading yesterday, the dollar was quoted at 1.,marks, down from 1.
Comparison,marks late Tuesday and at  100000 yen, down from  2000000  yen late Tuesday.
Comparison,Sterling was quoted at $1000000, up from $100000 late Tuesday.
In Tokyo Thursday, the U.S. currency opened for trading at  0.  yen, down from Wednesday's Tokyo close of  2000000  yen.
Comparison,Since Friday's dive in stock market prices, the Fed has injected reserves into the banking system in an effort to calm the markets,and avert a repeat of   Japans's stock market debacle.
attribution,Some analysts note,that after last week's stock market tailspin and Tuesday's California earthquake
attributionit's hard to gauge,where the central bank wants the key federal funds rate.
attribution,They say,that the earthquake,
antithesis,INSURERS ARE FACING billions of dollars in damage claims from the California quake.,But most businesses in the Bay area
elaboration-part-whole-e,But most businesses in the Bay area,including Silicon Valley
elaboration-part-whole-e,But most businesses in the Bay area,weren't greatly affected.
List,Computer and software companies in the region are expecting virtually no long-term disruption in shipments.
object-attribute-e,Also investors quickly singled out stocks of companies,expected to profit or suffer from the disaster.
elaboration-additional-e,Leveraged buy-outs may be curbed by two rules in pending congressional legislation.,The provisions in deficit-reduction bills recently passed by the House and Senate
means,Mutual-fund czar John M. Templeton has put his money where his moniker is,pouring $1.4 million into one of his own funds the Templeton Value Fund.
elaboration-object-attribute-e,Mr. Templeton owns shares in several of the funds that his firm manages,but only in three of the available to U.S. investors,
Same-Unit,but only in three of the available to U.S. investors,according to filings with the Securities and Exchange Commission.
attribution,Those are Templeton Global Income, Templeton Emerging Markets and now the Value Fund.
Question-Answer,Why did he add the Value Fund to the list?,Because he's very bullish on the emerging growth stocks
elaboration-object-attribute-e,that make up the fund's portfolio,Mr. Templeton said from his Bahamas hideaway.
List,Emerging growth stocks haven't been popular in America for years,they've been neglected
List,they've been neglected,he said,
attribution,he said,and their prices often trail the market as a whole.
concession,Mr. Templeton's 7 0-share purchase in the closed-end fund came before the U.S. stock market's plunge last Friday,but still proved slightly profitable.
